"","ProductId","combine_summary","count"
"1","0006641040","Read it once. Read it twice. Reading Chicken Soup With Rice Family favorite Disappointed You'll use it once, you'll use it twice The story is great, the softcover book is disappointing A Gem of a Book Can't explain why It Was a favorite! This whole series is great way to spend time with your child Tiny little book, Wonderful little rhymes. so fun to read Chicken Soup with Rice A classic Love the book, miss the hard cover version chicken soup with rice months a good swingy rhythm for reading aloud A great way to learn the months Professional Mentoring Charming and childlike Must have. A classic Chicken soup with Rice One of our family's favorite books Darling! good for children love this book It's a great book! Great Gift This book is great! Children will find it entertaining and a generator of giggles MMMM chicken soup.... EVERY book is educational In December it will be, my snowman's anniversary... awesome book poor size This book is much too small Size does matter Nice cadence, catchy rhymes",37
"38","7310172001","very good Dogs Love These! Fast shipment Dogs Love It Golden loves them! Corgi Cocaine Healthy High Quality Dog Treat Save the best for training great product & value Best Dog Treats dogs love them Liv-r licious! Excellent Product and Made in U.S.A. Liver treats Dogs love them! A favorite! Pro-Treat Beef Liver Freeze Dried, Best Part Of Rudy's Day Puppy loves these Great! Great training treats! Best dog treats Awesome! Great Product, Great deal Liver Treats Great treats for dogs Wonderful treat for great price Like Candy for Your Dog DOG LOVES IT The Only Treat My Dog Will Eat! The Best! Great for Diabetic Dog My dog loves these Good Stuff Amazing Training Treat!! Great for puppy training Best dog treat ever 5 snouts! Dogs, Cats, Ferrets all love this my 12 year old maltese has always loved these My Alaskan Malamute Loves Them!! THE BEST healthy dog treat! Terrific Treats Happy Dog Good Product- VERY Slow Super Saver Shipping Best treat ever! Dog Treats great product for dogs Don't buy it used dogs LOVE it--  best treat for rewards and training My Dog's Favorite Treat! My Dog loves These! Be careful! Dogs LOVE IT! Great product Great! Sophie's Treats Excellent treats dog lover Very good quality Sammy loves these! Great product Healthy dog treats DELICOUS TREAT FOR DOGS FANTASTIC UNBELIEVABLE PRICE! Gimborn Liver Treats Puff Gimborn Pro-Treat Liver Really great treats! Best snack item for my dog. My Dogs Are CRAZY About These! Good Service,  Excellent Price DOGS LOVE IT! Lucky's Favorite Good treats, somewhat falsely advertised Review of Freeze Dried Liver Treats For Dogs Not satisfactory great treat, but too expensive Overpriced! pro treat no shipping charges in December if over $50 on DrFosterSmith.com Freeze dried liver treats The Very Best For Your Dog Size inconsistent, needs water Great for travel, but too expensive, too much prep Two paws up! A great treat Best treat on the market Dogs love them, but pieces aren't sized uniformly and they melt when wet Jah No Mess and dogs love them! Really good treats for training Dog Treat great treats Best treats we've tried so far Great treats - dog loves them Great but expensive All Natural and Dogs Love them Pro treat indeed! Trainng tool Good all natural treats No more Black Tears This is good stuff!!! Great liver treats-extra benefits for white dogs Great dog treats Dogs go nuts for these liver treats Can't resist this ! Freeze dried liver as dog treats Training Reward-High Protein and Non-greasy Rolls Royce of dog treats....... Great reward for my dog The perfect treat for dog training at a good price. My dog loved these... Pro-treat Freeze Dried Beef Liver Cut the pieces smaller Our dog loves them! Pure Puppy Addiction My dog loves these! dog treats Only treat my dog will eat! Dogs love it. Love this faucet Excellent service Dogs LOVE it!!  Plus it is healthy... MY DOG LOVES THEM AND NEVER TIRES OF THEM My dog loves it!! Excellent Product dog treats - beef liver Canine Crack! Gimborn Liver Bits Treats Travis loves them; inconsistent in size. Dogs favorite treat Great for dog training Freeze Dried Beef Liver Dogs go crazy for this Great for treats and training Delicious, pure treats Dogs Love It Great Treat dogs love these! Dogs love'em Delicious for the Dog Great for training. Great treat to use as a high value reward! This it like dog heroin.  There's nothing my dog won't do for liver treats. Loves liver treats excellent Doesn't get much better Dogs love this stuff My snobby hound loves these Woof woof!! Dog Treats One of the best treats for dogs! expensive, but worth it dog treats This is my dogs Abby and Zoe's favorite Treat Can't go wrong Stewart's Pro-Treats Best. Chihuahuas Favorite Love these... or at least my dog does. Great treat, but probably not for small dogs Great Treat Perfect for Small Dogs Crack For Dogs! Pro Treat Dried Dog Treats Great treat! My dog would do anything for this treat",167
"205","7310172101","very good Dogs Love These! Fast shipment Dogs Love It Golden loves them! Corgi Cocaine Healthy High Quality Dog Treat Save the best for training great product & value Best Dog Treats dogs love them Liv-r licious! Excellent Product and Made in U.S.A. Liver treats Dogs love them! A favorite! Pro-Treat Beef Liver Freeze Dried, Best Part Of Rudy's Day Puppy loves these Great! Great training treats! Best dog treats Awesome! Great Product, Great deal Liver Treats Great treats for dogs Wonderful treat for great price Like Candy for Your Dog DOG LOVES IT The Only Treat My Dog Will Eat! The Best! Great for Diabetic Dog My dog loves these Good Stuff Amazing Training Treat!! Great for puppy training Best dog treat ever 5 snouts! Dogs, Cats, Ferrets all love this my 12 year old maltese has always loved these My Alaskan Malamute Loves Them!! THE BEST healthy dog treat! Terrific Treats Happy Dog Good Product- VERY Slow Super Saver Shipping Best treat ever! Dog Treats great product for dogs Don't buy it used dogs LOVE it--  best treat for rewards and training My Dog's Favorite Treat! My Dog loves These! Be careful! Dogs LOVE IT! Great product Great! Sophie's Treats Excellent treats dog lover Very good quality Sammy loves these! Great product Healthy dog treats DELICOUS TREAT FOR DOGS FANTASTIC UNBELIEVABLE PRICE! Gimborn Liver Treats Puff Gimborn Pro-Treat Liver Really great treats! Best snack item for my dog. My Dogs Are CRAZY About These! Good Service,  Excellent Price DOGS LOVE IT! Lucky's Favorite Good treats, somewhat falsely advertised Review of Freeze Dried Liver Treats For Dogs Not satisfactory great treat, but too expensive Overpriced! pro treat no shipping charges in December if over $50 on DrFosterSmith.com Freeze dried liver treats The Very Best For Your Dog Size inconsistent, needs water Great for travel, but too expensive, too much prep Two paws up! A great treat Best treat on the market Dogs love them, but pieces aren't sized uniformly and they melt when wet Jah No Mess and dogs love them! Really good treats for training Dog Treat great treats Best treats we've tried so far Great treats - dog loves them Great but expensive All Natural and Dogs Love them Pro treat indeed! Trainng tool Good all natural treats No more Black Tears This is good stuff!!! Great liver treats-extra benefits for white dogs Great dog treats Dogs go nuts for these liver treats Can't resist this ! Freeze dried liver as dog treats Training Reward-High Protein and Non-greasy Rolls Royce of dog treats....... Great reward for my dog The perfect treat for dog training at a good price. My dog loved these... Pro-treat Freeze Dried Beef Liver Cut the pieces smaller Our dog loves them! Pure Puppy Addiction My dog loves these! dog treats Only treat my dog will eat! Dogs love it. Love this faucet Excellent service Dogs LOVE it!!  Plus it is healthy... MY DOG LOVES THEM AND NEVER TIRES OF THEM My dog loves it!! Excellent Product dog treats - beef liver Canine Crack! Gimborn Liver Bits Treats Travis loves them; inconsistent in size. Dogs favorite treat Great for dog training Freeze Dried Beef Liver Dogs go crazy for this Great for treats and training Delicious, pure treats Dogs Love It Great Treat dogs love these! Dogs love'em Delicious for the Dog Great for training. Great treat to use as a high value reward! This it like dog heroin.  There's nothing my dog won't do for liver treats. Loves liver treats excellent Doesn't get much better Dogs love this stuff My snobby hound loves these Woof woof!! Dog Treats One of the best treats for dogs! expensive, but worth it dog treats This is my dogs Abby and Zoe's favorite Treat Can't go wrong Stewart's Pro-Treats Best. Chihuahuas Favorite Love these... or at least my dog does. Great treat, but probably not for small dogs Great Treat Perfect for Small Dogs Crack For Dogs! Pro Treat Dried Dog Treats Great treat! My dog would do anything for this treat",167
"372","B00002N8SM","Doesn't catch fruit flies Worthless Indoor Trap Epic Fail - Worst Fly Trap Ever Created It's OK. A fancy flypaper Utterly worthless It's junk RIpoff Complete Waste of Money I should read those reviews before ordered. Waste of money Didn't work for me. Gross but effective Didn't work THIS ITEM IS EXCELLENT TO KILL INSECTS We have so many flies in the house.  Have had this product for 3 weeks and it has only stuck 1 fly thus far. A big rip off Doesn't work!! Don't waste your money!! only one fruitfly stuck Day 5 = Zero flies get something else Fly Trap Doesn't Trap Much Works okay... Is this a Joke Complete waste of money Not so sticky situation Doesn't work at all! Works Great! Prettier than fly paper great product A sure death for flies ONLY CAUGHT 1 FLY The coldn't care less! Random luck fly trap Not yet... Doesn't work. I have 4 different types of traps, and this is the only one that is empty. Regular fly ribbon worked way better ... still waiting to catch a fly This does not work...",38
"410","B00004CI84","A Wacky Entertaining Look At The Afterlife Funny great movie for kids adults anyone with a sense of humor! Beetlejuice A Great Classic boring Just gets better with age! BEETLEJUICE..A TIM BURTON CLASSIC! One of Tim Burton's best movies Great Movie Its Beetlejuice.... Remember this as a funny movie! Beetlejuice (20th Anniversary Deluxe Edition: I love this movie! A Really Bizarre Spectacle. Classic Tim Burton. Beetlejuice and My Grandkids three times timeless a classic Awesome movie! great Beetlejuice Adventuresome and comedic entertainment Beetlejuice x 3 Classic Love this Movie Love this movie! I LOVE THIS MOVIE!!!!!!!!!!!!!!!!!!!!!!! Beetlejuice Beetlejuice sweet Beetlejuice Fun for the Whole Family AMERICA'S CRITIC I love this movie!!! Beetlejuice 1988 Tim Burton film, dvd. Fun Then, Fun Now; Blu-Ray An Upgrade BeetleFun Beetlejuice Beetlejuice Beetlejuice Cool Movie Beetlejuice, Beetlejuice, Beetlejuice! Tim Burton's imagination goes wild! Awsome Movie. Awsome 3-D box cover Good Movie For Halloween """"It Keeps Getting Funnier Everytime I See It!"""" cute movie Macabre Fun For the Whole Family A bizzare, hilarious and unique movie!! Beetle juice BeetleJuice FUNNY, WITH LOVE Great DVD Beetlejuice FUN & FUNNY burton's best? aging classic Another Twisted Masterpiece From Burton One of Tim Burton's earliest and best films A very good fun. Wacky and original ONE OF THE FIRST MOVIES OF AN AUTHENTIC ARTIST Freaky, silly, wry and creative Good Tim Burton Flick Love This Movie! A movie to """"literally die for!!!"""" Excellent... Hilarious An entertaining odd fantasy comedy. Beetlejuice - Great Fun for Everyone! Beetlejuice! Beetlejuice! Beatlejuice! Say it once, say it twice, third time's the charm! Off-color, Irreverent  Hilarity Cheesy Reissue Great movie, terrible DVD Soundtrack CD sampler that comes with Blu-ray edition BeetleJuice- DVD Great movie turned bad WARNING: CLAMSHELL EDITION IS EDITED TV VERSION Five Star Movie, No Star DVD Great Movie Which SCREAMS for a Special Edition DVD Will probably never get tired of this movie Nice F#*@ING modle. Honk Honk Really gets those juices flowing... A Gothic Tim Burton Classic!!! Clarification Heads off, I mean up, Beetlejuice fans!  New DVDs due out in September, details here best movie ever Beetlejuice - Tim Burton's Masterpiece I can't believe this is Michael Keaton!!! TIM BURTON MADE A FUNNY GHOSTS TALE. Just plain fun! &quot;I'm the ghost with the most, babe&quot; A Afterlife Success A modern day fairy tale They got more than they expected for out in the country Wild, Crazy Fun With Ghosts Timely delivery; no complaints Awesome The best movie ever!!! awesome movie GREAT MOVIE!!! """"Ach deliver me from LL Bean."""" Good movie TIM BURTON'S FANTASY WORLD IS ALIVE Great Movie! Great Movie Always a pleasure Crazy Nutty Fun From Begging To End never gets old! Awesome movie, not very """"deluxe"""" dvd Always a laugh! Best Tim Burton film. He should just stick to this format. it's showtime tim burton=a classic movie On Being Dead Tim Burton's Best ... FUNNY Classic Blu-ray Movie Great video! Beetlejuice Bettlejuice movie Nice love this movie A Classic Commedy Piece Forgot how funny this was. Day-O, Day-O Awesome Cheese It's Just So Gross! fun! Hilarious the the end... of time LOL! A Classic One Indeed One of the best movies ever! Research - Beatlejuice video - French version Certificate: Puerile Light-hearted fantasy diversion What Amazon ships is not what's pictured.  BEWARE Great Movie...But NOT Given DELUXE Treatment MY FAVORITE MOVIE! 5 stars for the movie 2 stars for the dvd Burton's true debut! Fabulous Comedic Fanasy Directed by a Master Why no uncut version Blueray:  Great movie.  Blue-Ray-Okay Great Comedy Tim Burton Goes All Out in His Second Feature Film! I don't think anyone understands why this movie is enjoyable Beetlejuice Beetlejuice Beetlejuice!! Remains one of my favorites Underrated showcase of scary-zany Burtonland Beetlejuice! Beetlejuice! Beetlejuice! Because My Middle Name is &quot;Weird&quot; A little gross, a lot of fun A fresh, original film from master storyteller Tim Burton GREAT BEETLEGEUSE!!! Good movie, HORRIBLE DVD BEETLEJUICE! Before he developed his crush on Johnny Depp... It's Funny To Think The Titular Character Is Only In The Movie Less Than Twenty Minutes """"Please, they're dead. It's a little late to be neurotic."""" Very inexpensive and arrived in very timely manner Funny not really spooky Deja vu is fun! It's show time! THE THREE B'S The ghost with the most kinda let down Blu-Ray Review ONE OF THE BEST GHOST STORIES I KNOW..... I LOVE THIS MOVIE!!!! Great, Classic Dark Comedy Awesome Remastered Version """"I'm the ghost with the most babe"""" Love it A Tim Burton Classic! It's SHOWTIME!!! old school chew on the dog! day-o Beetlejuice is a greatmovie, but they cheated you on the dvd Bettlejuice...Bettlejuice...BETTLEJUICE! Beetlejuice Great experience! beetlejuice Delightfully entertaining! Love this movie!!",187
"597","B00004CXX9","A Wacky Entertaining Look At The Afterlife Funny great movie for kids adults anyone with a sense of humor! Beetlejuice A Great Classic boring Just gets better with age! BEETLEJUICE..A TIM BURTON CLASSIC! One of Tim Burton's best movies Great Movie Its Beetlejuice.... Remember this as a funny movie! Beetlejuice (20th Anniversary Deluxe Edition: I love this movie! A Really Bizarre Spectacle. Classic Tim Burton. Beetlejuice and My Grandkids three times timeless a classic Awesome movie! great Beetlejuice Adventuresome and comedic entertainment Beetlejuice x 3 Classic Love this Movie Love this movie! I LOVE THIS MOVIE!!!!!!!!!!!!!!!!!!!!!!! Beetlejuice Beetlejuice sweet Beetlejuice Fun for the Whole Family AMERICA'S CRITIC I love this movie!!! Beetlejuice 1988 Tim Burton film, dvd. Fun Then, Fun Now; Blu-Ray An Upgrade BeetleFun Beetlejuice Beetlejuice Beetlejuice Cool Movie Tim Burton's imagination goes wild! Awsome Movie. Awsome 3-D box cover Good Movie For Halloween """"It Keeps Getting Funnier Everytime I See It!"""" cute movie Macabre Fun For the Whole Family A bizzare, hilarious and unique movie!! Beetle juice BeetleJuice FUNNY, WITH LOVE Great DVD Beetlejuice FUN & FUNNY burton's best? aging classic Another Twisted Masterpiece From Burton One of Tim Burton's earliest and best films A very good fun. Wacky and original ONE OF THE FIRST MOVIES OF AN AUTHENTIC ARTIST Freaky, silly, wry and creative Good Tim Burton Flick Love This Movie! A movie to """"literally die for!!!"""" Excellent... Hilarious An entertaining odd fantasy comedy. Beetlejuice - Great Fun for Everyone! FANTASTIC! Entertainingl Funny! Say it once, say it twice, third time's the charm! Off-color, Irreverent  Hilarity Cheesy Reissue Great movie, terrible DVD Soundtrack CD sampler that comes with Blu-ray edition BeetleJuice- DVD Great movie turned bad WARNING: CLAMSHELL EDITION IS EDITED TV VERSION Five Star Movie, No Star DVD Great Movie Which SCREAMS for a Special Edition DVD Nice F#*@ING modle. Honk Honk Really gets those juices flowing... A Gothic Tim Burton Classic!!! Clarification Heads off, I mean up, Beetlejuice fans!  New DVDs due out in September, details here best movie ever Beetlejuice - Tim Burton's Masterpiece TIM BURTON MADE A FUNNY GHOSTS TALE. Just plain fun! &quot;I'm the ghost with the most, babe&quot; A Afterlife Success A modern day fairy tale They got more than they expected for out in the country Wild, Crazy Fun With Ghosts Timely delivery; no complaints Awesome The best movie ever!!! awesome movie GREAT MOVIE!!! """"Ach deliver me from LL Bean."""" Good movie TIM BURTON'S FANTASY WORLD IS ALIVE Great Movie! Great Movie Always a pleasure Crazy Nutty Fun From Begging To End never gets old! Awesome movie, not very """"deluxe"""" dvd Always a laugh! Best Tim Burton film. He should just stick to this format. it's showtime tim burton=a classic movie On Being Dead Tim Burton's Best ... FUNNY Research Blu-ray Movie Great video! Beetlejuice Bettlejuice movie Nice love this movie A Classic Commedy Piece Forgot how funny this was. Day-O, Day-O Awesome Cheese It's Just So Gross! fun! Hilarious the the end... of time LOL! A Classic One Indeed One of the best movies ever! Beetlejuice DVD Beatle juice Great movie, great delivery PG? Not! CASPER IS THE GHOST WITH THE MOST Subtitles?? Not funny and especially not for young kids!! Not very good wickedly funny Certificate: Puerile Light-hearted fantasy diversion What Amazon ships is not what's pictured.  BEWARE Great Movie...But NOT Given DELUXE Treatment MY FAVORITE MOVIE! 5 stars for the movie 2 stars for the dvd Burton's true debut! Fabulous Comedic Fanasy Directed by a Master Why no uncut version Blueray:  Great movie.  Blue-Ray-Okay Great Comedy Tim Burton Goes All Out in His Second Feature Film! I don't think anyone understands why this movie is enjoyable Beetlejuice Beetlejuice Beetlejuice!! Remains one of my favorites Underrated showcase of scary-zany Burtonland Beetlejuice! Beetlejuice! Beetlejuice! Because My Middle Name is &quot;Weird&quot; A little gross, a lot of fun A fresh, original film from master storyteller Tim Burton GREAT BEETLEGEUSE!!! Good movie, HORRIBLE DVD BEETLEJUICE! Before he developed his crush on Johnny Depp... It's Funny To Think The Titular Character Is Only In The Movie Less Than Twenty Minutes """"Please, they're dead. It's a little late to be neurotic."""" Very inexpensive and arrived in very timely manner Funny not really spooky Deja vu is fun! It's show time! THE THREE B'S The ghost with the most kinda let down Blu-Ray Review ONE OF THE BEST GHOST STORIES I KNOW..... I LOVE THIS MOVIE!!!! Great, Classic Dark Comedy Awesome Remastered Version """"I'm the ghost with the most babe"""" Love it A Tim Burton Classic! It's SHOWTIME!!! old school chew on the dog! day-o Beetlejuice is a greatmovie, but they cheated you on the dvd Bettlejuice...Bettlejuice...BETTLEJUICE! Beetlejuice Great experience! beetlejuice Delightfully entertaining! Love this movie!!",193
"790","B00004RAMS","This is what works.  It's all about placement Kills moles Study How to Use It and It's Great Works very well Worked for me WOW. It does work Victor Mole Trap Works, but a little bit tricky it works Didn't work for me did not work. Cost reduction strikes again Meets expectations powerfull Tricky Setup It's a bust I couldn't believe it, but it WORKED!! Good solution for a mole problem Great Product mole stopper need some HELP!! Get them Moles!! Works great Just like that ones my dad used in the 1950's Still have moles.... It doesn't work Mole Trap DO NOT BUY Worthless poor design",30
"820","B00004RAMY","Mole Trap It Really Works The BEST Mole Trap Mole trap by Victor Mole trap Yup it worked! Works Great!! This trap is the best style of trap that I have used Worked well for me caught none dangerous, doesn't work Scissor mole trap... the only way to kill a mole Excellent mole trap Worked Perfectly First mole in under 12 hours Hard to cock, but it never misses. It's a long-time favorite because it works. No luck yet Moles No More It works! Best Mole Trap Ever Effective! Mole Trapper Caught a mole in 5 minutes Heavy duty - really works well Got one on my first try. Actually worked Caught one the first night on mole super highway. Works perfectly with usage advice found on here! best way to kill moles.  Like all traps, it must be set correctly. Caught my first mole within 3 hours of setting the trap. Set twice, killed twice Awesome! Must Have! mole eliminator They work, but one of my traps had a major, dangerous manufacturing flaw!! Good trap, requires strong hands It works Best mole trap I've found Caught one! Great Mole Getter Darn things work! Problem setting Mole Traps - Outstanding Product The ONLY solution that works!! Victor Mole Trap review they're hard to catch Mole elimination Mole Trap Worked for me!! The ONLY trap you need!!!  Simply AWESOME. Ordered 2 items, one was defective Works! The Mole is DEAD!!! This works No More Moles BEST trap for Moles It really works! Victor out-o-sight mole traps mole trap Mole trap Victor Mole Traps Woodstream Mole Trap mole traps Victor Mole trap Misses a 5 star rating because it can be difficult to set These traps work BUT you have to set them right Dissatisfied needs some improvements doesn't work or just hard to set up? maybe both! Don't buy this trap Good luck with this! Total lack of response from Northern Tool & Equipment Does not work in sandy soil Question about usage! Thanks Did not work for me Can't get it set... mole trap Very difficult to set Not easy to set up! Too hard to use Extremely hard to set!!! Use grub and insect killer instead The Moles will be safe with this piece of junk Don't follow the directions The only trap I've found that has worked for me! The trap works if you DO NOT FOLLOW DIRECTIONS finally something that really works!!! Victor 0631 They work but can you bring yourself to use them? Great Trap Caught in 3 days It Worked for Me Worked the First Night! Simple, effective and durable trap It does what the reviews said Trap works Success In Five Hours One little booger down, God knows how many more left! Death to the MOLES Woo Hoo! Something finally works!! Awesome Trap Victor Out O' Site Out of sight trap Finally a way to get rid of these moles!!!! Mole Trap - It Works! Success with the Victor 0631 trap Impossible to assemble Disappointed, but unbowed Very Effective with practice in setting The best answer I have found for moles It really  works! Mole Terminator!!!!!! Don't Follow the Directions Moles! Difficult to set and use Great Trap OUT OF SIGHT MOLE TRAP So far so good.. It Worked! It Works and It Works Fast! Victor Mole Traps - Out of Sight Finally, caught a mole! It is hard to set Victor 0631 works well.  Mole trapping is just tedious Victor 0631 Mole Trap Fantastic This works! works for me Finally, the solution to my mole problem. Been there, Done that! Best Trap Available Best mole trap but needed a little tweaking Worked on my first try! Bought 4 Great Mole Trap defective device I feel strongly BOTH ways! If you have moles in your yard, buy this! Beginner's luck? took a while, but it worked Great Trap It works...it really, really works. MOLEINATOR INSTA KILL.... Kill the bugs in your yard first Mole trP Perfect product! It works Don't waste time with other products or methods Bye Bye Mole! Looking forward to using. Mole traps Broke before it saw first use not useful in CA Victor 0631 Mole Trap It works Even a Caveman could do it... Set it the way others say and it works great. Caught the mole within 12 hours! Great Product Mole killer worked for me Happy hunter in DFW Caught my first mole yesterday It worked! Finally, a trap that works It works Best Mole trap I ever used Here moley moley!!! Works as promised I caught a mole with it. Really Hard to Set!!! functional Simply the best! the only one that works Caution - Safety loop maybe faulty",172
"992","B00004RBDU","waste of $$ it works ! Good news - bad news Completely useless !!! Would rate with no stars if I could!!! The last desperate act it works so I bought these refills Catches More Than Fleas Work Perfect For Me! Victor flea trap is superb! This does the job! Flea Trap Refills Victor Ultimate Flea Trap flea control Almost Perfect Pads are 25% glued. Don't bother Does Job but Flea Trap Sheets/Disks are  Hard to Peel This product kicks serious butt! do not buy! Good in theory, not in reality best non toxic fix! It works! Flea's are stuck Worried at first... Sticky and effective Better than expected! works great Flea Trap WORKS! its a refill Useless Useless To Me doesn't work Can't argue, does what it says! Nope.... Great sounding idea, not so effective It works ok...BUT you're gonna need these... ???????????????????????????? Mediocre buy it works great Works Okay Simple and it works. victor m231 ultimate flea trap refills, pack of 3 Flea Trap Use the money as kindling for the fireplace instead NOT WORKING! Have a flea problem ?? Helpful product. Helps to keep control of all sorts of bugs Seems ok The Flea Trap That Traps Thank god I tried these out worked as expected Great product, but... Excellent Product without Chemicals Good product WORKS TERRIFIC Absolute rubbish! must have! Never Again Do not waste your money mother Flea traps are great Victor Flea Trap Didn't work for me, but maybe I didn't have enough fleas FEWER COLUMBOLLA MITES W/ FLEA TRAPS Works, Sort Of Victor Flea Trap Sticky paper works great Victor M231 Flea Trap work great in concert with other measures Doesn't work well without the light! Really works Flea Trap Refill pads Really Does Work Inexpensive, non-toxic, and it works!!! works terrific Worked very well for us! Worked great for me. Very good product Really good product. Great Item sticky flea trap disks Works great VSteinmetz these things work! Flea Trap Paper Long time user It Really Works! Victor M231 Ultimate Flea Trap refills Just okay Flea Trap Just by Chance",95
"1087","B00004RBDW","Excellent! Amazing (and gross!) Great! Fly Magnet inclined to post because of great result it works, it takes few days before flies to show up Above and beyond any reasonable expectation. Lid plastic wall and thread too weak to hold the bottle I have never seen anything like it! Excellent Product Works great not what is pictured Works very well victor Very, very effective! They are full of flys and that is great!  Thanks Amazon more flies.... :( REALLY WORKS! Never have seen anything like this! Bye Bye Flies Best fly traps EVER! Awesome Fly Killet STINKY Not worth the effort and smell(?) Nice design, poor performance. Extremely effective Stinky, but that's it... Had high hopes..but didn't work Doesn't attract cluster flies stinky trap Humiliation and Disgust",31
